function,GREL,GREL_iri,GREL_signature,GREL_description,GREL_category,GREL_category_2,GREL_category_3,SPARQL,SPARQL_iri,SPARQL_signature,SPARQL_description,SPARQL_category,XPath,XPath_sameas,XPath_iri,Xpath_signature,Xpath_description,Xpath_category,Xpath_category_2,Xpath_operator,SQL,SQL_IRI,SQL_signature,SQL_description,SQL_category,SQL_operator
,,,,,,,,,,,,,map:find,Common to XSLT 3.0 and XPath 3.1,,,,,,,,,,,,
,,,,,,,,,,,,,map:for-each,Common to XSLT 3.0 and XPath 3.1,,,,,,,,,,,,
,,,,,,,,,,,,,map:get,Common to XSLT 3.0 and XPath 3.1,,,,,,,,,,,,
,,,,,,,,,,,,,map:keys,Common to XSLT 3.0 and XPath 3.1,,,,,,,,,,,,
,,,,,,,,,,,,,map:merge,Common to XSLT 3.0 and XPath 3.1,,,,,,,,,,,,
,,,,,,,,,,,,,map:put,Common to XSLT 3.0 and XPath 3.1,,,,,,,,,,,,
,,,,,,,,,,,,,map:remove,Common to XSLT 3.0 and XPath 3.1,,,,,,,,,,,,
,,,,,,,,,,,,,map:size,Common to XSLT 3.0 and XPath 3.1,,,,,,,,,,,,
group_concat,join,https://github.com/OpenRefine/OpenRefine/wiki/GREL-Array-Functions#joinarray-a-string-sep,"join(array a, string sep)","Returns the string obtained by joining the array a with the separator sep. For example, join([ ""foo"", ""bar"", ""baz"" ], "";"") returns the string foo;bar;baz.",Array,,,GroupConcat,https://www.w3.org/TR/sparql11-query/#defn_aggGroupConcat,"GroupConcat(M, scalarvals)",GroupConcat is a set function which performs a string concatenation across the values of an expression with a group. The order of the strings is not specified. The separator character used in the concatenation may be given with the scalar argument SEPARATOR.,Set,,,,,,,,,GROUP_CONCAT,,,NOT ANSI!,,
sample,,,,,,,,Sample,https://www.w3.org/TR/sparql11-query/#defn_aggSample,Sample(M),Sample is a set function which returns an arbitrary value from the multiset passed to it.,Set,,,,,,,,,SAMPLE,,,,,
